address,business_area,cityname,id,lat,lon,name,pname,tel,type
御桥路239号(西泰林路),三林镇,上海市,B0FFFAMNPN,31.150106,121.534373,康品汇生鲜(三林店),上海市,021-61538008;021-61524581,购物服务;综合市场;农副产品市场|购物服务;综合市场;水产海鲜市场
寿光路185-10号,金桥,上海市,B00155EI03,31.274289,121.586273,江南山水菜市场(一条街店),上海市,[],购物服务;综合市场;蔬菜市场
中春路255号,,上海市,B0FFGB6DG9,31.025637,121.399977,新安农贸市场,上海市,17740836680,购物服务;综合市场;农副产品市场
南桥镇新建东路480号,南桥,上海市,B00155LJJL,30.920539,121.470760,新建东路菜市场,上海市,[],购物服务;综合市场;农副产品市场
老芦公路1365-2号,临港,上海市,B00156D4DI,30.926466,121.867191,书院镇集贸市场,上海市,[],购物服务;综合市场;综合市场
平阳路与虹梅路交叉口西南50米,梅陇,上海市,B00157I49I,31.143080,121.409893,古阳菜市场,上海市,[],购物服务;综合市场;蔬菜市场
九里亭街道涞亭北路2号8号桥,,上海市,B0FFI56MGY,31.158027,121.324078,8号桥蔬果市场,上海市,13122909285;18116215956,购物服务;购物相关场所;购物相关场所
浦东南路东南新村31号,陆家嘴,上海市,B00155MU4M,31.225255,121.516072,杨家渡菜市场,上海市,021-58782694,购物服务;综合市场;蔬菜市场
新欣东路13号,临港,上海市,B0015708LN,30.985273,121.868367,新港集贸市场,上海市,[],购物服务;综合市场;综合市场
浦江镇陈行世博家园浦瑞路268号,浦江镇,上海市,B0FFFT5ZRX,31.073082,121.492124,景舒菜市场,上海市,021-34301842,购物服务;综合市场;蔬菜市场
泰虹路168号T2-202室,华漕,上海市,B00155MVAL,31.208196,121.307879,爱博市场,上海市,021-24208009,购物服务;综合市场;综合市场
上川路1738号鸿运来旅馆(中共上海市浦东新区曹路镇委员会东)附近,曹路,上海市,B00156E0PY,31.278541,121.669133,东田市场,上海市,[],购物服务;购物相关场所;购物相关场所
周浦镇韵浦路58号,周浦镇,上海市,B00156F3JG,31.11048,121.573262,周浦集贸市场,上海市,15921892928,购物服务;综合市场;农副产品市场
广兰路,张江,上海市,B0FFGKRBEH,31.216586,121.616953,广兰菜市场,上海市,[],购物服务;综合市场;蔬菜市场
平型关路1525、1537、1541、1545,,上海市,B0FFF00FF1,31.290457,121.459607,大宁菜市场,上海市,[],购物服务;综合市场;蔬菜市场
亭林镇寺平北路111弄28号,亭林,上海市,B00156D2B0,30.886048,121.313779,亭林农贸市场,上海市,18854415179,购物服务;综合市场;农副产品市场
淮海中路483-499号底层(锦江国际购物中心旁),,上海市,B00155ETDD,31.221081,121.469684,上海全国土特产食品商场(淮海中路店),上海市,021-53833623;021-63853565,购物服务;专卖店;专营店
国伟路与闸殷路交叉口西北50米,江湾,上海市,B0FFHQ8GBM,31.336181,121.528813,阳普闸殷菜市场,上海市,13918818895,购物服务;综合市场;蔬菜市场
金泽镇金溪路10号,,上海市,B001570813,31.036176,120.924751,金泽农贸市场,上海市,[],购物服务;综合市场;综合市场
沪南路2000号,北蔡,上海市,B00155L42V,31.164351,121.55811,上海农产品中心批发市场,上海市,021-58439988,购物服务;综合市场;农副产品市场
龙吴路3188号(近金都路),,上海市,B001557HYF,31.093453,121.458521,上海龙吴进口果蔬批发市场,上海市,021-34040100,购物服务;综合市场;果品市场
浦东大道2507号(浦东大道居家桥),,上海市,B0FFGY9DJF,31.258272,121.558758,浦东大道菜市场,上海市,021-68403788,购物服务;综合市场;蔬菜市场
杨行镇松兰路846号,杨行,上海市,B00155QPHW,31.378963,121.445968,杨行农贸市场,上海市,15001885495,购物服务;综合市场;农副产品市场
利津路488号,金桥,上海市,B0FFGYBCS9,31.275087,121.585154,江南山水菜市场小吃一条街,上海市,[],购物服务;特色商业街;特色商业街
管弄134号附近,城桥,上海市,B00155N8G5,31.625932,121.398806,天峰菜场,上海市,[],购物服务;综合市场;蔬菜市场
鞍山路101-2号,鞍山,上海市,B0FFGV67WE,31.276650,121.511252,阳普鞍山菜市场,上海市,[],购物服务;综合市场;蔬菜市场
南泉路1315号(近塘桥路),塘桥,上海市,B00155ATJT,31.210020,121.522081,南泉菜市场,上海市,021-58739209,购物服务;综合市场;蔬菜市场
沪南公路5208号,航头,上海市,B0015580T0,31.04973,121.586462,下沙集贸市场(竞猜店),上海市,[],购物服务;综合市场;综合市场
浦东大道140弄4幢25-27号,,上海市,B00156GXCW,31.238560,121.515021,崂山菜市场,上海市,13166321988,购物服务;综合市场;蔬菜市场
