address,business_area,cityname,id,lat,lon,name,pname,tel,type
10号线;17号线;2号线,,上海市,BV10039905,31.193987,121.318910,虹桥火车站(地铁站),上海市,[],交通设施服务;地铁站;地铁站
1号线;3号线;4号线,,上海市,BV10024601,31.249632,121.457939,上海火车站(地铁站),上海市,[],交通设施服务;地铁站;地铁站
(在建)15号线;7号线,顾村,上海市,BV10026233,31.344594,121.373009,顾村公园(地铁站),上海市,[],交通设施服务;地铁站;地铁站
(规划)25号线;2号线,徐泾,上海市,BV10039906,31.188367,121.299204,徐泾东(地铁站),上海市,[],交通设施服务;地铁站;地铁站
10号线,五角场,上海市,BV10030403,31.298043,121.514632,五角场(地铁站),上海市,[],交通设施服务;地铁站;地铁站
(在建)15号线;1号线;3号线,,上海市,BV10025073,31.154579,121.430041,上海南站(地铁站),上海市,[],交通设施服务;地铁站;地铁站
7号线,,上海市,BV10039872,31.401949,121.349966,美兰湖(地铁站),上海市,[],交通设施服务;地铁站;地铁站
(规划)25号线;11号线;1号线;9号线,徐家汇,上海市,BV10029707,31.195338,121.436837,徐家汇(地铁站),上海市,[],交通设施服务;地铁站;地铁站
(规划)19号线;3号线;8号线,江湾,上海市,BV10024871,31.271392,121.479154,虹口足球场(地铁站),上海市,[],交通设施服务;地铁站;地铁站
1号线;2号线;8号线,,上海市,BV10024678,31.232781,121.475137,人民广场(地铁站),上海市,[],交通设施服务;地铁站;地铁站
11号线,,上海市,BV10039960,31.391549,121.237350,嘉定北(地铁站),上海市,[],交通设施服务;地铁站;地铁站
9号线,,上海市,BV10039875,31.137252,121.319423,九亭(地铁站),上海市,[],交通设施服务;地铁站;地铁站
2号线;3号线;4号线,中山公园,上海市,BV10025398,31.217948,121.415773,中山公园(地铁站),上海市,[],交通设施服务;地铁站;地铁站
11号线,桃浦,上海市,BV10025258,31.281603,121.349623,桃浦新村(地铁站),上海市,[],交通设施服务;地铁站;地铁站
11号线,,上海市,BV10026750,31.288490,121.161985,安亭(地铁站),上海市,[],交通设施服务;地铁站;地铁站
9号线,,上海市,BV10027922,31.053984,121.232577,松江大学城(地铁站),上海市,[],交通设施服务;地铁站;地铁站
(在建)18号线;16号线;2号线;7号线;磁悬浮,,上海市,BV10039851,31.203575,121.557634,龙阳路(地铁站),上海市,[],交通设施服务;地铁站;地铁站
13号线;7号线,,上海市,BV10039779,31.240860,121.438272,长寿路(地铁站),上海市,[],交通设施服务;地铁站;地铁站
13号线;3号线;4号线,,上海市,BV10039776,31.232004,121.413150,金沙江路(地铁站),上海市,[],交通设施服务;地铁站;地铁站
