address,business_area,cityname,id,lat,lon,name,pname,tel,type
四团3线,,上海市,BV11110871,30.904102,121.748970,港鼎路平港路(公交站),上海市,[],交通设施服务;公交车站;公交车站相关
东滩1路;东滩3路;崇明东滩4路,,上海市,BV11090599,31.536289,121.845909,裕展北村汽车站(公交站),上海市,[],交通设施服务;公交车站;公交车站相关
1118路,,上海市,BV11110137,31.189951,121.498344,博成路白莲泾路(公交站),上海市,[],交通设施服务;公交车站;公交车站相关
(停运)浦东滨江4路,,上海市,BV11105900,31.181875,121.471313,世博大道(公交站),上海市,[],交通设施服务;公交车站;公交车站相关
南燎专线,,上海市,BV11102481,30.897600,121.526405,友谊4组(公交站),上海市,[],交通设施服务;公交车站;公交车站相关
嘉定128路,,上海市,BV11116921,31.369217,121.159714,喜泉路百安公路(公交站),上海市,[],交通设施服务;公交车站;公交车站相关
崇明东滩4路,陈家,上海市,BV11090598,31.511684,121.790817,锦陈路花漂中路(公交站),上海市,[],交通设施服务;公交车站;公交车站相关
申城观光2号线,陆家嘴,上海市,BV11113515,31.230173,121.504845,东昌路轮渡(东昌路)(公交站),上海市,[],交通设施服务;公交车站;公交车站相关
松江4路,永丰,上海市,BV11108995,31.010309,121.211945,仓丰路永丰路(公交站),上海市,[],交通设施服务;公交车站;公交车站相关
嘉定108路,,上海市,BV11101103,31.308815,121.138062,鸵鸟路向阳路(公交站),上海市,[],交通设施服务;公交车站;公交车站相关
横沔老镇-康人路环桥路,,上海市,BV11092046,31.145296,121.637878,沔新路人南村村委会(公交站),上海市,[],交通设施服务;公交车站;公交车站相关
(停运)浦东滨江4路;(停运)浦东滨江5路;周南线,,上海市,BV11104947,31.176868,121.469850,雪野二路世博大道(公交站),上海市,[],交通设施服务;公交车站;公交车站相关
朱家角7路,朱家角镇,上海市,BV11104972,31.114571,121.019661,绿湖路绿舟路(公交站),上海市,[],交通设施服务;公交车站;公交车站相关
青金线定班,,上海市,BV11092410,31.042778,120.918243,沪青平公路培爱路(招呼站)(公交站),上海市,[],交通设施服务;公交车站;公交车站相关
横沔老镇-康人路环桥路,,上海市,BV11092045,31.136702,121.640373,沔新路李家宅路(公交站),上海市,[],交通设施服务;公交车站;公交车站相关
申城观光1号线;申城观光2号线,,上海市,BV11113525,31.222733,121.489334,豫园(复兴东路)(公交站),上海市,[],交通设施服务;公交车站;公交车站相关
闵行18路,,上海市,BV11087117,31.185551,121.315277,申滨南路兰虹路(公交站),上海市,[],交通设施服务;公交车站;公交车站相关
嘉定108路,花桥,上海市,BV11101102,31.304749,121.137131,向阳村(公交站),上海市,[],交通设施服务;公交车站;公交车站相关
松江98路,,上海市,BV11112569,31.062445,121.162376,辰花路油墩港桥(公交站),上海市,[],交通设施服务;公交车站;公交车站相关
1063路,临港,上海市,BV11102342,30.977600,121.870125,船山街丽正路(公交站),上海市,[],交通设施服务;公交车站;公交车站相关
嘉虹1线,,上海市,BV11097834,31.361797,121.243477,叶城路中青旅(公交站),上海市,[],交通设施服务;公交车站;公交车站相关
1077路;1135路,临港,上海市,BV11083926,30.920200,121.903831,沪城环路杞青路(公交站),上海市,[],交通设施服务;公交车站;公交车站相关
638路;716路;843路,金桥,上海市,BV11108164,31.269587,121.592293,荷泽路五莲路(公交站),上海市,[],交通设施服务;公交车站;公交车站相关
徐泾1路,,上海市,BV10537027,31.145884,121.270317,前云路金云村(公交站),上海市,[],交通设施服务;公交车站;公交车站相关
虹桥商务区1路;闵行23路,,上海市,BV11087218,31.197487,121.313934,申长路锡虹路(公交站),上海市,[],交通设施服务;公交车站;公交车站相关
1136路,合庆,上海市,BV11114790,31.250023,121.735245,奚阳公路朝阳村(公交站),上海市,[],交通设施服务;公交车站;公交车站相关
四团3线,,上海市,BV11110869,30.898539,121.742950,海杰路港阳路(公交站),上海市,[],交通设施服务;公交车站;公交车站相关
柘林3线,,上海市,BV11080220,30.815359,121.444054,联合北路楚工路(公交站),上海市,[],交通设施服务;公交车站;公交车站相关
闵行17路B线,颛桥,上海市,BV11108441,31.058260,121.398325,瓶安路鑫都路(公交站),上海市,[],交通设施服务;公交车站;公交车站相关
申城观光2号线,,上海市,BV11113518,31.222792,121.502823,复兴东路轮渡(复兴东路)(公交站),上海市,[],交通设施服务;公交车站;公交车站相关
浦东40路;龙惠专线,,上海市,BV11102782,31.106966,121.757439,南祝路祝城路(三八桥)(公交站),上海市,[],交通设施服务;公交车站;公交车站相关
南头专线;莘团线,,上海市,BV11100545,30.950920,121.645927,新奉公路新利河桥(公交站),上海市,[],交通设施服务;公交车站;公交车站相关
南浔古镇景区专线,,上海市,BV11098368,31.158581,121.086243,青浦客运站(公交站),上海市,[],交通设施服务;公交车站;公交车站相关
闵行2路;闵行30路,颛桥,上海市,BV11093726,31.060190,121.376694,颛兴路华宁路(公交站),上海市,[],交通设施服务;公交车站;公交车站相关
