address,business_area,cityname,id,lat,lon,name,pname,tel,type
绍虹路33号(虹桥火车站),,上海市,B0FFFWGFX4,31.193075,121.315897,虹桥天地南区演艺中心,上海市,[],体育休闲服务;影剧院;剧场|购物服务;商场;购物中心
人民路388号,,上海市,B001549864,31.230117,121.491849,上海滩商厦,上海市,[],购物服务;商场;普通商场
浦江镇浦星公路与联航路交叉口(红星美凯龙),浦江镇,上海市,B00157974N,31.077456,121.511129,红星国际广场,上海市,021-34780801,购物服务;家居建材市场;家具建材综合市场
公园路666弄120号上海桥梓湾购物中心,,上海市,B00155MLBD,31.150000,121.112774,上海桥梓湾购物中心(三元路店),上海市,021-59722123,购物服务;商场;普通商场
申长路869号,,上海市,B0FFGPTV65,31.191175,121.313804,龙湖虹桥天街购物中心,上海市,[],购物服务;商场;购物中心
淀山湖大道218号,,上海市,B00157I0E6,31.144145,121.095092,吾悦广场,上海市,021-31012618;021-31018888,购物服务;商场;购物中心
宝安公路3386号,,上海市,B0FFG6P1CM,31.330638,121.279583,大融城,上海市,021-59156631;021-39522099;4007006655,购物服务;商场;购物中心
世博大道1368号,,上海市,B00155QZKZ,31.183286,121.492661,世博源,上海市,021-31117777,购物服务;商场;购物中心
马陆镇樱花街111弄,,上海市,B0FFGKAQBW,31.326969,121.282084,金汇莲花生活购物中心,上海市,13621992500,购物服务;商场;购物中心
御桥路1949号,北蔡,上海市,B0FFG61PWG,31.159082,121.571881,万科2049海上传奇,上海市,021-50850051;021-68812049,购物服务;商场;普通商场
谢卫路1416号,徐泾,上海市,B0FFGPG60H,31.171969,121.293236,夏都小镇,上海市,021-39253300;021-39887161,购物服务;商场;普通商场|购物服务;特色商业街;特色商业街
环庆东路与环庆中路交汇处西北150米,合庆,上海市,B0FFG1XUSL,31.234381,121.726142,置天一号广场,上海市,[],购物服务;商场;商场
浦东南路1138号,陆家嘴,上海市,B00155DBIJ,31.226988,121.514763,上海湾,上海市,021-68882953,购物服务;商场;购物中心
世纪大道1217号世纪大道地铁站1号出口,潍坊社区,上海市,B0FFH7SROY,31.230112,121.52741,百联世纪购物中心,上海市,021-50658600;021-50658583,购物服务;商场;购物中心|购物服务;商场;普通商场
东安路562号,龙华,上海市,B0FFGWGY2S,31.18361,121.456754,绿地缤纷城,上海市,021-33639688;021-33638998,购物服务;商场;购物中心
