address,business_area,cityname,id,lat,lon,name,pname,tel,type
人民大道221号上海迪美购物中心B1层227-229号、265-269号,,上海市,B0FFF6XGCO,31.228048,121.473024,风云再起电玩台球(上海店),上海市,021-33103259,体育休闲服务;娱乐场所;游戏厅
南京东路800号第一百货商业中心c馆1层,,上海市,B0FFJ18SCI,31.235336,121.475343,三叶草Adidas Originals(东方商厦南东店),上海市,021-63731110;4009995999;18502110517,购物服务;专卖店;专营店
南京东路829号,,上海市,B0FFF3DCBV,31.234321,121.475052,耐克,上海市,021-63332888,购物服务;体育用品店;耐克专卖店
西藏中路268号来福士广场F5层05-06,,上海市,B0FFH0KX7N,31.232049,121.476470,VANS(来福士广场),上海市,021-63128843,购物服务;体育用品店;体育用品店
西藏中路268号来福士广场F5层05-07D,,上海市,B00157H7BR,31.232500,121.476486,FILA(来福士广场),上海市,021-63403230;4008867699,购物服务;体育用品店;体育用品店
西藏中路268号来福士广场F5层05-07E,,上海市,B0FFFWWJD6,31.232393,121.476543,SKECHERS(来福士广场),上海市,4009002311,购物服务;体育用品店;体育用品店
西藏中路268号来福士广场4层20号,,上海市,B0FFHCZV7H,31.232304,121.476797,阿迪达斯(来福士店),上海市,021-63337509;021-56294983,购物服务;体育用品店;阿迪达斯专卖店
南京西路2号新世界城6层,,上海市,B0FFF4N8M6,31.234718,121.473652,阿迪达斯(新世界城店),上海市,021-51523365;18217512340,购物服务;体育用品店;阿迪达斯专卖店
西藏中路268号来福士广场5层509室,,上海市,B00157H7C0,31.232281,121.476671,new balance(来福士广场),上海市,021-53832256;4008902887;15821114901,购物服务;服装鞋帽皮具店;品牌鞋店
南京东路800号东方商厦F7层,,上海市,B0FFF6X61C,31.235562,121.475454,aSICS(东方商厦),上海市,021-51523339;4008210893,购物服务;体育用品店;体育用品店
南京东路635号永安百货4层前区,,上海市,B0FFHOCF8B,31.235252,121.478154,耐克(永安百货),上海市,021-63608498,购物服务;体育用品店;耐克专卖店
