address,business_area,cityname,id,lat,lon,name,pname,tel,type
江西中路135弄9号三楼,,上海市,B00154DE8L,31.233439,121.486961,上海沪江医疗器材有限公司,上海市,021-63213478,医疗保健服务;医药保健销售店;医疗保健用品
中国(上海)自由贸易试验区牛顿路501号2幢226室,张江,上海市,B00154DV1C,31.203468,121.592108,微创医疗,上海市,021-38954600,公司企业;公司;医药公司
长江西路1978号(华山医院宝山分院斜对面),庙行镇,上海市,B00156O4W2,31.331645,121.443408,康复之家医疗器械(上海宝山二店),上海市,021-66223554,医疗保健服务;医药保健销售店;医疗保健用品
五角场镇长海路296号,,上海市,B00156CWK1,31.309524,121.524229,康林仁和医疗护理用品(长海路店),上海市,021-65565673;021-55781621,医疗保健服务;医药保健销售店;医疗保健用品
延安东路45、55号上海工商联大厦30层,,上海市,B00155GIYA,31.231262,121.489044,上海仁济医疗集团,上海市,[],公司企业;公司;医药公司
沪闵路9506-2号,漕河泾,上海市,B00155I3ZY,31.166114,121.434012,康林仁和家庭医疗护理用品(沪闵路),上海市,021-65556079,医疗保健服务;医药保健销售店;医疗保健用品
斜土路1646-7号,,上海市,B00156TL82,31.195823,121.456059,康复之家医疗器械(斜土路店),上海市,021-54271537;021-64827336,医疗保健服务;医药保健销售店;医疗保健用品
淮海西路540号三川大楼4层411,,上海市,B0FFF2S560,31.198170,121.424780,祺光医疗器械公司,上海市,[],公司企业;公司;公司
沁春路707号1幢5号门,,上海市,B0GDH70WG0,31.092715,121.370904,卫长医疗科技(上海)有限公司,上海市,[],公司企业;知名企业;知名企业
万航渡路1号环球世界大厦B座10层1008,,上海市,B00155GEQT,31.224296,121.444577,科润医疗产品(上海)有限公司,上海市,[],公司企业;公司;医药公司
花园石桥路33号花旗集团大厦901-902室,陆家嘴,上海市,B00155I0ND,31.234044,121.500440,恒发(中国)医疗有限公司,上海市,[],公司企业;公司;医药公司
虬江路1376号长城苑商务楼405-407F,,上海市,B00151F17F,31.249329,121.466603,上海跃进医疗器械厂,上海市,[],公司企业;公司;医药公司
宛平南路75建科大厦18层,,上海市,B001558JG9,31.195590,121.445899,元化医疗咨询服务(上海)有限公司,上海市,021-64692211,公司企业;公司;医药公司
外冈镇沪宜公路6018号,,上海市,B00156GJ1T,31.386727,121.155597,优盛医疗电子(上海)有限公司,上海市,021-69575888,公司企业;公司;机械电子
松江出口加工区华哲路355弄之1-3号、16号,车墩,上海市,B00155AQCT,31.011733,121.297648,美昕医疗器械(上海)有限公司,上海市,[],公司企业;公司;医药公司
富特西一路439号C部位,,上海市,B00154D9IV,31.336596,121.595826,强生(上海)医疗器材有限公司,上海市,[],公司企业;公司;医药公司
宜山路829海博综合楼南楼6层,漕河泾,上海市,B00155IC52,31.172016,121.406555,心科医疗设备(上海)有限公司,上海市,[],公司企业;公司;医药公司
江桥镇发祥路89号,,上海市,B00154DQ77,31.245389,121.336741,德壹医疗用品(上海)有限公司,上海市,[],公司企业;公司;公司
江场三路223号市北高新技术服务业园区都市信息园5层,,上海市,B00156EMGZ,31.294611,121.438470,上海泰美医疗器械有限公司,上海市,021-36321861,公司企业;公司;医药公司
江场三路219号市北高新技术服务业园区都市信息园5层,,上海市,B00155BG15,31.294892,121.437764,上海天鹰医疗器械有限公司,上海市,021-51060618,公司企业;公司;医药公司
浦东北蔡北蔡镇莲振路25号,北蔡,上海市,B001511A04,31.166430,121.563712,上海浦东金环医疗用品有限公司,上海市,021-50910082,公司企业;公司;医药公司
车墩镇留业路99号6幢,车墩,上海市,B00156D4ZA,31.005898,121.304207,上海惠雅医疗科技有限公司,上海市,021-57656918,公司企业;公司;医药公司
浦东川沙路1188号,曹路,上海市,B00154TINF,31.262542,121.677188,上海正华医疗设备有限公司,上海市,021-58565566;4008887598,公司企业;公司;医药公司
三三公路5020弄8号,临港,上海市,B00155HTWK,30.952606,121.906304,上海市东海老年护理医院,上海市,021-58291111,医疗保健服务;综合医院;综合医院
粤秀路351号二车间一楼,凉城,上海市,B00155MQGS,31.291061,121.461613,上药医疗器械(上海)有限公司,上海市,[],公司企业;公司;医药公司
虹桥路355号城开国际大厦4楼,,上海市,B00155KTIW,30.999704,121.378981,强生(中国)医疗器材有限公司,上海市,021-22058888,公司企业;知名企业;知名企业
金汇南路188号,七宝,上海市,B00155GDWF,31.171184,121.377716,锦绣江南家园医疗服务中心,上海市,021-34318707,医疗保健服务;综合医院;卫生院
居家桥路515号1号楼,金桥,上海市,B00156OQ8U,31.255481,121.564358,上海医疗器械股份有限公司(居家桥路),上海市,021-56633112,公司企业;公司;医药公司
肇嘉浜路789均瑶国际广场28层-C1-E1,,上海市,B00155KT5T,31.198057,121.448594,圣犹达医疗用品(上海)有限公司(肇嘉浜路),上海市,[],公司企业;公司;医药公司
石湖荡镇贵南路889号3号厂房,,上海市,B0FFHCCJP6,30.973130,121.187203,上海宝邦医疗器械有限公司,上海市,021-57781285;021-57781696;18017021615,公司企业;公司;医药公司
张东路1387号-27幢-1号-2层,张江,上海市,B00156ZDPZ,31.218432,121.637093,上海浦宸埃尔医疗科技有限公司,上海市,[],公司企业;公司;医药公司
新桥镇新效路180号,,上海市,B00154MCIC,31.055031,121.300723,森田医疗器械(上海)有限公司,上海市,021-57644214,公司企业;公司;医药公司
荷丹路88号宝钢浦东国贸大厦10层,,上海市,B00156OOF6,31.331866,121.599493,上海寰熙医疗器械有限公司,上海市,021-58662002;021-58662001,公司企业;公司;医药公司
金山路亭朱路388号,,上海市,B00156GT6X,30.851653,121.336375,上海百特医疗用品有限公司,上海市,021-24012366;021-57270808,公司企业;公司;医药公司
长乐路989世纪商贸广场二区12层,,上海市,B001558XJI,31.215316,121.447027,百特医疗用品贸易(长乐路),上海市,021-24012366,公司企业;公司;商业贸易
琥珀路229号,,上海市,B00156LUE6,31.098383,121.621657,上海德尔格医疗器械有限公司,上海市,[],公司企业;公司;医药公司
福州路666华鑫海欣大厦23层,,上海市,B00155I6LU,31.232581,121.477712,欧姆龙健康医疗(中国)有限公司上海分公司,上海市,[],公司企业;公司;医药公司
嘉唐公路1988号,,上海市,B00155QUH3,31.435779,121.218858,上海三友医疗器械有限公司,上海市,021-69036114,公司企业;公司;医药公司
漕溪北路396-398号汇智大厦30层,,上海市,B00155MOFV,31.187815,121.436310,国扬医疗器械贸易(上海)有限公司,上海市,[],公司企业;公司;医药公司
会恒路718弄9号,徐泾,上海市,B0FFIOTGCK,31.182852,121.284749,诊庐,上海市,[],医疗保健服务;诊所;诊所
金高路1115号,,上海市,B0FFHU12VH,31.280551,121.610313,浦东牙病防治所,上海市,021-61319892,医疗保健服务;专科医院;口腔医院
都市路3759号1层131室,颛桥,上海市,B0FFHSS5HH,31.085365,121.397945,睿宝儿科(闵行龙盛店),上海市,021-54467733;4009008887,医疗保健服务;专科医院;专科医院
纪翟路与纪高路交叉口东100米,华漕,上海市,B0FFHSMXGZ,31.238747,121.272313,银杏社区卫生服务站,上海市,[],医疗保健服务;诊所;诊所
和龙路与清溪路交叉口西50米,高桥,上海市,B0FFHRYPR8,31.341542,121.572009,上海黄淑英中医妇科诊所,上海市,[],医疗保健服务;专科医院;妇科医院
浦驰路52号(近联航路),浦江镇,上海市,B0FFHC4IH6,31.072282,121.503944,复旦大学附属市第五医院(世博家园门诊部),上海市,021-34501500;021-24289000,医疗保健服务;诊所;诊所|医疗保健服务;综合医院;综合医院
崮山路36号,洋泾,上海市,B0FFGY9CR9,31.247694,121.549679,崮山社区卫生服务站,上海市,[],医疗保健服务;综合医院;卫生院
中山西路333号九龙男子医院3层,虹桥,上海市,B0FFGIAPNY,31.216623,121.411405,上海九龙男性不育科,上海市,021-60643591;021-52733999,医疗保健服务;专科医院;专科医院
甘泉路501弄5号甲,,上海市,B0FFFX1097,31.261683,121.429657,普陀区甘泉街道社区卫生服务中心甘泉二村社区卫生服务站,上海市,[],医疗保健服务;诊所;诊所
芷江中路274号,,上海市,B0FFFF6XRW,31.259324,121.471501,上海市中医特色专科中医失眠症专科,上海市,021-56639828,医疗保健服务;综合医院;三级甲等医院|医疗保健服务;专科医院;专科医院
泸定路355号上海市儿童医院f4层,,上海市,B0FFFABF32,31.226608,121.386316,病理科会诊示教室(上海市儿童医院),上海市,[],医疗保健服务;综合医院;三级甲等医院
东川公路8027号,合庆,上海市,B001570VZB,31.211692,121.729494,合庆社区卫生服务中心蔡路分中心,上海市,021-68906275;021-58971201,医疗保健服务;综合医院;卫生院
盘古路323号,,上海市,B00156ZG6K,31.409224,121.485467,老年痴呆症神经内科精神科门诊,上海市,[],医疗保健服务;专科医院;精神病医院
石门一路67弄1号,,上海市,B00156NV6J,31.225128,121.462498,上海市名老中医诊疗所,上海市,021-62588203,医疗保健服务;诊所;诊所
西藏南路758号前社Nexxus2-3层,,上海市,B00156NUMZ,31.215503,121.484247,上海希玛瑞视眼科医院,上海市,021-63120633,医疗保健服务;专科医院;眼科医院
顾村镇电台路567号,顾村,上海市,B00156E3HU,31.355673,121.392240,新园门诊,上海市,021-56182288;021-86182288,医疗保健服务;诊所;诊所
包头路58号、62号,,上海市,B00155QUWO,31.307684,121.538916,上海寓医馆,上海市,021-55629955,医疗保健服务;诊所;诊所
延安西路1882东华大学延安路校区,虹桥,上海市,B00155LZFH,31.206730,121.414182,东华大学校医院,上海市,021-62373664,医疗保健服务;诊所;诊所
龙华西路107号,龙华,上海市,B00155LA9M,31.172636,121.450480,佛慈堂中医馆(龙华西路),上海市,021-54610265;021-54101966,医疗保健服务;医药保健销售店;药房|医疗保健服务;诊所;诊所
东兰路597号,,上海市,B00155KP0E,31.155032,121.393434,冯瑞娟中医,上海市,021-54937796,医疗保健服务;诊所;诊所
斜土路1642号(近枫林路),,上海市,B00155IUQE,31.196189,121.457144,中经堂(徐汇店),上海市,021-64182781;021-64182782,医疗保健服务;诊所;诊所
华山路800弄,,上海市,B00155IS7C,31.214431,121.438774,美华妇儿服务丁香诊所,上海市,021-31752530;021-52858507;021-31752500,医疗保健服务;专科医院;妇科医院
普安路185号7层,,上海市,B00155IKZP,31.222834,121.478433,石氏伤科,上海市,[],医疗保健服务;专科医院;专科医院
浦东大道637号同科公寓2层,,上海市,B00155IEYO,31.240910,121.522948,慈铭体检(陆家嘴店),上海市,021-58793399;021-58763392,医疗保健服务;诊所;诊所
方浜中路59号,城隍庙,上海市,B00155I1S0,31.225342,121.496103,名医堂,上海市,021-63305455,医疗保健服务;诊所;诊所
仙霞路88号太阳广场东塔1层,古北,上海市,B00155GJCI,31.205486,121.404172,上海瑞林诊所,上海市,021-62082288;021-62754488,医疗保健服务;诊所;诊所
莘朱路879弄157号高兴路伟业路口,春申,上海市,B00155G24L,31.112230,121.402380,上海市闵行区梅陇社区卫生服务中心高兴社区卫生服务站,上海市,021-54384753;021-34083574,医疗保健服务;综合医院;卫生院
华山路800弄6号丁香公寓6号楼裙楼4层,,上海市,B00155F9EN,31.214431,121.438774,永惠华,上海市,021-62113333;021-62263111,医疗保健服务;诊所;诊所
漕溪北路41号汇嘉大厦6-C,徐家汇,上海市,B00155E899,31.192179,121.439327,福仁眼科,上海市,021-54901949,医疗保健服务;诊所;诊所
漕宝路3206号(近七莘路),七宝,上海市,B00155CFNX,31.156082,121.351803,朱正奇推拿诊所,上海市,021-64789777,医疗保健服务;诊所;诊所
青海路44号,,上海市,B00155CEDT,31.230612,121.464007,岳阳中西医结合医院名医特诊部,上海市,[],医疗保健服务;诊所;诊所
江浦路2178号,延吉,上海市,B00155ARP9,31.282550,121.516409,明潭眼科,上海市,021-55961876,医疗保健服务;专科医院;眼科医院
华山路708号,,上海市,B001559XXJ,31.215803,121.439717,华山社区卫生服务站(华山路),上海市,021-62257824,医疗保健服务;综合医院;卫生院
马当路328弄1-43号,,上海市,B001556Q0C,31.217015,121.474753,上海陈观龙中医诊所,上海市,021-53067394;13901784399,医疗保健服务;诊所;诊所
南山路70号,,上海市,B00154DHOP,31.256584,121.465918,上海张菊官内科诊所,上海市,[],医疗保健服务;诊所;诊所
平江路234-5号,,上海市,B00154DFTP,31.199496,121.453460,百问堂肿瘤专家服务部,上海市,021-64430411;021-64438710,医疗保健服务;诊所;诊所
南山路70号,,上海市,B00154DHOP,31.256584,121.465918,上海张菊官内科诊所,上海市,[],医疗保健服务;诊所;诊所
平江路234-5号,,上海市,B00154DFTP,31.199496,121.453460,百问堂肿瘤专家服务部,上海市,021-64430411;021-64438710,医疗保健服务;诊所;诊所
新沪路950号,,上海市,B001540B4A,31.272408,121.418446,上海市同济医院(大华门诊部),上海市,021-66344701;021-66344400,医疗保健服务;诊所;诊所
钦州南路780号(近虹漕南路),漕河泾,上海市,B00153B8B9,31.156314,121.410979,徐汇区牙病防治所康健分所,上海市,021-54642006;021-64037289,医疗保健服务;专科医院;口腔医院|医疗保健服务;诊所;诊所
平凉路1814号(近宁武路),,上海市,B00153A68B,31.268250,121.543277,杨浦区牙病防治所,上海市,[],医疗保健服务;专科医院;口腔医院|医疗保健服务;诊所;诊所
同心路921号,,上海市,B00151911C,31.273247,121.470517,复旦大学附属公共卫生临床中心,上海市,021-37990333,医疗保健服务;综合医院;三级甲等医院
宣桥镇下盐公路3777号,,上海市,B00155QMCS,31.069222,121.713532,华泰药店连锁(三灶二店),上海市,021-58033650,医疗保健服务;医药保健销售店;药房
临汾路1246号(临汾路三泉路),,上海市,B0FFJ0D805,31.310710,121.442058,华氏大药房(北区同康店),上海市,021-56409135,医疗保健服务;医药保健销售店;药房
闻喜路925号(近共和新路),,上海市,B0FFJ0D2HV,31.307885,121.447906,华氏大药房(北区阜丰药店),上海市,021-56482768,医疗保健服务;医药保健销售店;药房
石门二路200号,,上海市,B0FFJ007UE,31.234414,121.460767,北京药房,上海市,021-62712269,医疗保健服务;医药保健销售店;药房
保德路1283号附近,共康,上海市,B0FFIY74WU,31.316262,121.445047,上海市皮肤病医院-九和堂,上海市,[],医疗保健服务;医药保健销售店;药房
新华路722-10号雷允上,虹桥,上海市,B0FFIY35QY,31.205764,121.418309,华凯药房,上海市,[],医疗保健服务;医药保健销售店;药房
中山西路1438-1440号附近,虹桥,上海市,B0FFIXQE52,31.190997,121.417408,上海医药,上海市,[],公司企业;公司;医药公司
虹漕南路217号底层,漕河泾,上海市,B0FFIVP6BL,31.158125,121.413740,益丰大药房(虹漕南路店),上海市,021-64517808;18930617419,医疗保健服务;医药保健销售店;药房
恒森广场A幢(胶州路西),曹家渡,上海市,B0FFIVOU6O,31.234057,121.440252,叮当智慧药房(昌平路店),上海市,[],医疗保健服务;医药保健销售店;药房
柳州路643附近,漕河泾,上海市,B0FFIVOFBE,31.177999,121.421538,上海市第六人民医院-住院药房,上海市,[],医疗保健服务;医药保健销售店;药房
徐家汇路618号日月光广场B2楼近田子坊,,上海市,B0FFIPEA7Q,31.206565,121.468471,好药师大药房,上海市,[],医疗保健服务;医药保健销售店;药房
龙华西路235-1号附近,龙华,上海市,B0FFIL7Z5T,31.173262,121.447644,上海鑫能药房,上海市,[],医疗保健服务;医药保健销售店;药房
淮海西路243号,,上海市,B0FFIK0ZSQ,31.197752,121.425240,上海市胸科医院1号楼-西药房,上海市,[],医疗保健服务;医药保健销售店;药房
九江路与广西北路交叉口北50米,,上海市,B0FFIGERNE,31.234573,121.477372,康贝,上海市,[],医疗保健服务;医药保健销售店;药房
金桂苑与龙川北路交叉口西北50米,,上海市,B0FFIBRGT7,31.146548,121.437946,国大药房(鸿康店),上海市,021-54019800,医疗保健服务;医药保健销售店;药房
真如镇街道高尚领域礼泉路689弄12号楼,真如,上海市,B0FFIB3UBC,31.253293,121.407147,好药师(上海第一分店),上海市,[],医疗保健服务;医药保健销售店;药房
石龙路121-3号,,上海市,B0FFIAQLIQ,31.156876,121.443368,叮当快药智慧药房,上海市,[],医疗保健服务;医药保健销售店;药房
重庆南路115号附近,,上海市,B0FFIA6O3U,31.214054,121.471200,万宜堂,上海市,[],医疗保健服务;医药保健销售店;药房
武宁路1070号,,上海市,B0FFI6V79E,31.246037,121.409841,华氏大药房(武宁分店),上海市,021-62548742;021-62867403,医疗保健服务;医药保健销售店;药房
西藏南路1519号1层-1室,,上海市,B0FFI2S32C,31.202745,121.489357,华氏大药房(中山南路店),上海市,021-63295530,医疗保健服务;医药保健销售店;药房
漕溪北路8号B1层(徐家汇地铁站),徐家汇,上海市,B0FFI2RUYO,31.193245,121.438343,童涵春堂(东方商厦漕溪北路),上海市,021-63453363,医疗保健服务;医药保健销售店;药房
枣阳路181号,曹杨,上海市,B0FFI1T2ZY,31.236302,121.403912,益丰大药房(枣阳路店),上海市,021-32035725,医疗保健服务;医药保健销售店;药房
新村路356号,,上海市,B0FFI12DA7,31.265696,121.431562,万芸健康(新村路店),上海市,021-56486326;13917599533,医疗保健服务;医药保健销售店;药房
运城路18号1层,,上海市,B0FFI0PVXB,31.269738,121.442560,益丰大药房(运城路店),上海市,021-55152380,医疗保健服务;医药保健销售店;药房
铜川路58号弘基时尚生活中心F1层,,上海市,B0FFHUIASB,31.255364,121.419028,诚康大药房(弘基时尚生活中心),上海市,021-34791790,医疗保健服务;医药保健销售店;药房
老沪太路195弄3,,上海市,B0FFHTYL3D,31.268196,121.454308,国大药房(老沪太路店),上海市,021-56723797,医疗保健服务;医药保健销售店;药房
北京东路与山东北路交叉口东50米,,上海市,B0FFHT5TX4,31.240353,121.482710,第一医药(北京东路店),上海市,021-63596701,医疗保健服务;医药保健销售店;药房
大沽路501-503号附近,,上海市,B0FFHSIF6Q,31.225230,121.464545,诚都药店,上海市,[],医疗保健服务;医药保健销售店;药房
九龙路755号,,上海市,B0FFHRDMIA,31.254884,121.488239,信谊药房,上海市,021-63079004;021-63244470,医疗保健服务;医药保健销售店;药房
长征镇泾阳路379号,长征,上海市,B0FFHR2L6E,31.236196,121.360617,建德药房,上海市,[],医疗保健服务;医药保健销售店;药房
曹杨路673号,,上海市,B0FFHQ9B5G,31.239333,121.414945,复星大药房(曹杨路),上海市,[],医疗保健服务;医药保健销售店;药房
阳曲路662号附近,,上海市,B0FFHPQM3U,31.316962,121.460101,新虹联药房(保德路店),上海市,[],医疗保健服务;医药保健销售店;药房
