address,business_area,cityname,id,lat,lon,name,pname,tel,type
周祝公路35号5-6F,周浦镇,上海市,B0FFH88NTQ,31.099762,121.585249,香港纯唛量贩,上海市,[],体育休闲服务;娱乐场所;KTV
上丰路1838号恒生商业广场3层B座(近虹盛路),,上海市,B00157HKKT,31.241433,121.680188,乐圣迪量贩式KTV(王港店),上海市,021-50961800,体育休闲服务;娱乐场所;KTV
真南路4500号中冶祥腾城市广场3层,南翔,上海市,B0FFFVVJWG,31.295046,121.321641,星乐汇量贩KTV(中冶祥腾城市广场店),上海市,021-69956789,体育休闲服务;娱乐场所;KTV
南京东路409号置地广场1505(广场内13楼换乘15楼专用电梯),,上海市,B0FFFAMD36,31.236313,121.482042,Y&Y创意真人密室逃脱馆(人民广场步行街店),上海市,021-61849358;15692122671,体育休闲服务;娱乐场所;娱乐场所
漕溪北路41号汇嘉大厦21层,徐家汇,上海市,B0FFGZBFIN,31.192304,121.439274,77密室逃脱真人CS,上海市,021-33639998;17717691939,体育休闲服务;娱乐场所;游戏厅
漕溪北路41号汇嘉大厦2402号(太平洋数码),徐家汇,上海市,B0FFFSS64W,31.192110,121.439510,地心游戏(徐家汇店),上海市,15002169410;15692124129,体育休闲服务;娱乐场所;游戏厅
秀沿路2587号,康桥,上海市,B00157H2AW,31.137737,121.605590,乐嘟嘟创意主题K歌城堡,上海市,021-68191188,体育休闲服务;娱乐场所;KTV
南翔镇德华路747号,南翔,上海市,B00155N1XJ,31.291138,121.305411,天地人间1号公馆,上海市,[],体育休闲服务;娱乐场所;夜总会
福州路465号上海书城6层贝亦迪科技体验馆,,上海市,B0FFG6Y8C9,31.233369,121.481467,A9真人密室逃脱(黄浦店),上海市,021-63308731;15221561926;021-33317648,体育休闲服务;娱乐场所;娱乐场所
漕宝路3509号汇宝购物广场A座6层,七宝,上海市,B0FFF09YM8,31.155830,121.349189,丽歌坊量贩式KTV,上海市,021-52238055,体育休闲服务;娱乐场所;KTV
