address,business_area,cityname,id,lat,lon,name,pname,tel,type
史家河路附近,,铜川市,B03970LVX5,35.09377780132109,109.13235236697933,柏庙沟站,陕西省,[],交通设施服务;火车站;火车站
305省道,,铜川市,B03970LVXA,35.30852107733793,108.92042306737687,前河镇站,陕西省,[],交通设施服务;火车站;火车站
朱北路,,铜川市,B03970LVXD,35.360480940737595,109.48134134166794,蔡河站,陕西省,[],交通设施服务;火车站;火车站
耀县西站(沮河路西),,铜川市,B03970LN85,34.91153884804596,108.96077986800438,耀县西站,陕西省,[],交通设施服务;火车站;火车站
楼耀路东150米,,铜川市,B03970LVX7,35.107985139553094,108.80803093813564,田家咀站,陕西省,[],交通设施服务;火车站;火车站
[],,铜川市,B03970LWQY,34.93916736783966,108.93354038442072,寺沟站,陕西省,[],交通设施服务;火车站;火车站
柳林镇站(耀柳路北460米),,铜川市,B03970LWR1,35.04716028806262,108.82591341524613,柳林镇站,陕西省,[],交通设施服务;火车站;火车站
朝阳路,,铜川市,B03970LVX6,34.99709056537057,108.89323467386488,吕渠河站,陕西省,[],交通设施服务;火车站;火车站
305省道,,铜川市,B03970LVX9,35.256907085900686,108.90876199966903,后车凹站,陕西省,[],交通设施服务;火车站;火车站
305省道,,铜川市,B03970LVX8,35.14764977951136,108.83919420410959,聂家河站,陕西省,[],交通设施服务;火车站;火车站
305省道,,铜川市,B03970LVXB,35.24027842987655,108.87056310270694,安子沟站,陕西省,[],交通设施服务;火车站;火车站
210国道附近,,铜川市,B0FFGEGKCJ,35.008852805813234,109.02885452747734,黄堡站,陕西省,[],交通设施服务;火车站;火车站
