address,business_area,cityname,id,lat,lon,name,pname,tel,type
渝航路141号,双凤桥,重庆市,B001795TLJ,29.719475,106.632979,斯普兰连锁酒店(机场店),重庆市,023-67136699,住宿服务;宾馆酒店;宾馆酒店
中山二路134号,,重庆市,B00170L1A2,29.554938,106.555649,重庆朗湾时尚酒店两路口店(原青少年国际公寓),重庆市,023-63621717;023-63621515,住宿服务;宾馆酒店;宾馆酒店
科园三街132号5层,九龙镇,重庆市,B0FFGK9Z3B,29.527407,106.489902,汉庭酒店(科园三街店),重庆市,023-88251999,住宿服务;宾馆酒店;经济型连锁酒店
西郊路98号(动物园前行300米),九龙镇,重庆市,B001709UJE,29.498297,106.505149,八禧主题酒店(杨家坪店),重庆市,023-61587999;023-68883051;15922936158,住宿服务;宾馆酒店;宾馆酒店
桂溪镇文化路20号(长安文化新城),,重庆市,B0FFG4N9Z0,30.333226,107.349662,7天酒店·重庆垫江长安文化新城店(原7天阳光),重庆市,023-74506777,住宿服务;宾馆酒店;经济型连锁酒店
双凤路178号,双凤桥,重庆市,B00178X799,29.724818,106.630435,如家快捷酒店(重庆江北机场双凤路店),重庆市,023-88908000,住宿服务;宾馆酒店;宾馆酒店
渝航路224号,双凤桥,重庆市,B001792ZL6,29.720729,106.633625,华伦商务酒店(江北国际机场店),重庆市,023-67283388;023-67283366,住宿服务;宾馆酒店;宾馆酒店
马家沟路36号,,重庆市,B001792JR4,30.009028,106.269318,7天酒店(合川汽车中心站店),重庆市,023-42852777,住宿服务;宾馆酒店;经济型连锁酒店
兰花路68号,,重庆市,B001790LU2,29.504262,106.564588,梦琴酒店(苹果城店),重庆市,023-62886898,住宿服务;宾馆酒店;宾馆酒店
石桥铺科园一街25号新锐地带C座(重庆电大旁),九龙镇,重庆市,B00178VTT0,29.531743,106.487416,7天酒店(重庆石桥铺电脑城店),重庆市,023-68685088,住宿服务;宾馆酒店;经济型连锁酒店
小龙坎新街74号金沙国际商务大厦7层,沙坪坝,重庆市,B001786QMP,29.558869,106.463730,7天酒店(重庆沙坪坝步行街店),重庆市,023-65353188;023-65353177,住宿服务;宾馆酒店;经济型连锁酒店
石坪桥后街1号(万里雪百货旁),杨家坪步行街,重庆市,B00170I3TN,29.515276,106.504537,鑫梦酒店(重庆杨家坪万象城店),重庆市,023-68660777;17782070147,住宿服务;宾馆酒店;宾馆酒店
银杏大道59号附3号,,重庆市,B00178VNWU,29.417813,107.766418,仙逸度假酒店,重庆市,023-77774888;13340340303,住宿服务;宾馆酒店;宾馆酒店
昆仑大道50号,,重庆市,B001794J9E,29.606603,106.548605,汉庭酒店(重庆火车北站南广场地铁站站店),重庆市,023-63022555,住宿服务;宾馆酒店;经济型连锁酒店
松树桥花卉园西二路7号,花卉园,重庆市,B00170BSZ0,29.581431,106.510970,凤凰丽都酒店(轻轨6号线花卉园站店),重庆市,023-67609599;18996340072,住宿服务;宾馆酒店;经济型连锁酒店
西郊路2号富安百货1层,杨家坪步行街,重庆市,B0017822P4,29.508349,106.513627,7天酒店(重庆杨家坪轻轨站店),重庆市,023-68523388,住宿服务;宾馆酒店;经济型连锁酒店
建新东路75号,五里店,重庆市,B0FFFAJUGL,29.577876,106.556482,美栈时尚酒店,重庆市,023-89075028;17784306609,住宿服务;宾馆酒店;宾馆酒店
菜袁路12号,菜园坝,重庆市,B00178232V,29.548157,106.548561,富苑宾馆(菜园坝汽车站店),重庆市,023-63605440,住宿服务;宾馆酒店;宾馆酒店
回兴街道宝圣大道864-3号,回兴村,重庆市,B001792ZG4,29.667109,106.597123,爱心宾馆(西政店),重庆市,023-61886198;023-65956204,住宿服务;宾馆酒店;宾馆酒店
红狮大道10号,九龙镇,重庆市,B001787TO2,29.506160,106.473543,凯瑞汀酒店(重庆巴国城店),重庆市,023-68169888,住宿服务;宾馆酒店;宾馆酒店
长江二路10号附3号,,重庆市,B00170L39V,29.542476,106.526845,7天酒店(重庆大坪店),重庆市,023-68815088;023-68811929,住宿服务;宾馆酒店;经济型连锁酒店
杨梨路60号,,重庆市,B00178UGV9,29.557525,106.450221,橡树林酒店(牛津街店),重庆市,023-65359888;4006466888,住宿服务;宾馆酒店;经济型连锁酒店
